index,item
104875,http://www.wikidata.org/entity/Q18662450
610583,http://www.wikidata.org/entity/Q2206415
433657,http://www.wikidata.org/entity/Q111391238
344691,http://www.wikidata.org/entity/Q3094624
591338,http://www.wikidata.org/entity/Q11900062
254891,http://www.wikidata.org/entity/Q111749436
504203,http://www.wikidata.org/entity/Q6034611
102029,http://www.wikidata.org/entity/Q5459453
378359,http://www.wikidata.org/entity/Q7883635
106525,http://www.wikidata.org/entity/Q42543701
564627,http://www.wikidata.org/entity/Q11326224
122848,http://www.wikidata.org/entity/Q111112806
596697,http://www.wikidata.org/entity/Q734469
296091,http://www.wikidata.org/entity/Q107180647
441835,http://www.wikidata.org/entity/Q22674051
85690,http://www.wikidata.org/entity/Q66656115
638120,http://www.wikidata.org/entity/Q29122992
598828,http://www.wikidata.org/entity/Q13026528
532174,http://www.wikidata.org/entity/Q7862892
651186,http://www.wikidata.org/entity/Q110853323
748745,http://www.wikidata.org/entity/Q134077386
464319,http://www.wikidata.org/entity/Q3550736
451754,http://www.wikidata.org/entity/Q110572880
400701,http://www.wikidata.org/entity/Q2396826
569277,http://www.wikidata.org/entity/Q112018269
8678,http://www.wikidata.org/entity/Q11913819
325121,http://www.wikidata.org/entity/Q131409556
595924,http://www.wikidata.org/entity/Q12524650
414050,http://www.wikidata.org/entity/Q111150329
103551,http://www.wikidata.org/entity/Q15632785
446630,http://www.wikidata.org/entity/Q2176059
619361,http://www.wikidata.org/entity/Q56612564
332940,http://www.wikidata.org/entity/Q121144309
350038,http://www.wikidata.org/entity/Q73577072
293175,http://www.wikidata.org/entity/Q96314749
17781,http://www.wikidata.org/entity/Q104531635
34951,http://www.wikidata.org/entity/Q5148753
606626,http://www.wikidata.org/entity/Q64016188
17567,http://www.wikidata.org/entity/Q33138048
560495,http://www.wikidata.org/entity/Q11307761
343850,http://www.wikidata.org/entity/Q136436615
656614,http://www.wikidata.org/entity/Q118811073
224105,http://www.wikidata.org/entity/Q26549812
387929,http://www.wikidata.org/entity/Q107319283
135510,http://www.wikidata.org/entity/Q24934864
664270,http://www.wikidata.org/entity/Q131400214
410859,http://www.wikidata.org/entity/Q33323891
625867,http://www.wikidata.org/entity/Q22101829
564214,http://www.wikidata.org/entity/Q11324472
661182,http://www.wikidata.org/entity/Q125428570
311111,http://www.wikidata.org/entity/Q61986418
757459,http://www.wikidata.org/entity/Q138786201
214001,http://www.wikidata.org/entity/Q23023103
549041,http://www.wikidata.org/entity/Q10939602
369306,http://www.wikidata.org/entity/Q124514077
350310,http://www.wikidata.org/entity/Q138607829
2782,http://www.wikidata.org/entity/Q5156728
723964,http://www.wikidata.org/entity/Q113580914
118942,http://www.wikidata.org/entity/Q111084767
544446,http://www.wikidata.org/entity/Q10585864
538676,http://www.wikidata.org/entity/Q111999481
510885,http://www.wikidata.org/entity/Q111871846
635326,http://www.wikidata.org/entity/Q18408354
558910,http://www.wikidata.org/entity/Q11300905
590017,http://www.wikidata.org/entity/Q117326095
727952,http://www.wikidata.org/entity/Q116892392
3175,http://www.wikidata.org/entity/Q118754992
564476,http://www.wikidata.org/entity/Q11325755
352648,http://www.wikidata.org/entity/Q12362870
86750,http://www.wikidata.org/entity/Q137438003
511507,http://www.wikidata.org/entity/Q111872240
231182,http://www.wikidata.org/entity/Q122830262
579986,http://www.wikidata.org/entity/Q11509221
61424,http://www.wikidata.org/entity/Q41630997
464213,http://www.wikidata.org/entity/Q54165962
727205,http://www.wikidata.org/entity/Q116891629
289243,http://www.wikidata.org/entity/Q134229623
219659,http://www.wikidata.org/entity/Q5322972
146853,http://www.wikidata.org/entity/Q101991990
257875,http://www.wikidata.org/entity/Q102264072
388488,http://www.wikidata.org/entity/Q5884035
369043,http://www.wikidata.org/entity/Q112142555
744641,http://www.wikidata.org/entity/Q131188255
492290,http://www.wikidata.org/entity/Q5244676
76890,http://www.wikidata.org/entity/Q1780365
494848,http://www.wikidata.org/entity/Q5366018
593944,http://www.wikidata.org/entity/Q135968736
46527,http://www.wikidata.org/entity/Q134395812
612227,http://www.wikidata.org/entity/Q17214255
186456,http://www.wikidata.org/entity/Q19752863
138098,http://www.wikidata.org/entity/Q11581143
116016,http://www.wikidata.org/entity/Q12182356
4065,http://www.wikidata.org/entity/Q116847826
673325,http://www.wikidata.org/entity/Q43027224
630731,http://www.wikidata.org/entity/Q6426446
210571,http://www.wikidata.org/entity/Q45921193
44119,http://www.wikidata.org/entity/Q3460990
171214,http://www.wikidata.org/entity/Q43285035
141487,http://www.wikidata.org/entity/Q30258640
161165,http://www.wikidata.org/entity/Q111052539
703171,http://www.wikidata.org/entity/Q100595276
576530,http://www.wikidata.org/entity/Q112024544
384838,http://www.wikidata.org/entity/Q111074507
372504,http://www.wikidata.org/entity/Q111070390
613881,http://www.wikidata.org/entity/Q17990691
398467,http://www.wikidata.org/entity/Q111113771
130118,http://www.wikidata.org/entity/Q111116247
134645,http://www.wikidata.org/entity/Q23777900
744696,http://www.wikidata.org/entity/Q131188319
329110,http://www.wikidata.org/entity/Q111056683
154063,http://www.wikidata.org/entity/Q111125698
33968,http://www.wikidata.org/entity/Q834311
111033,http://www.wikidata.org/entity/Q42967153
154454,http://www.wikidata.org/entity/Q111125853
29152,http://www.wikidata.org/entity/Q123738878
521690,http://www.wikidata.org/entity/Q111879290
625829,http://www.wikidata.org/entity/Q22084949
626392,http://www.wikidata.org/entity/Q22130820
282188,http://www.wikidata.org/entity/Q90896881
523790,http://www.wikidata.org/entity/Q111882775
196805,http://www.wikidata.org/entity/Q30264772
60485,http://www.wikidata.org/entity/Q135013738
82848,http://www.wikidata.org/entity/Q125780038
196721,http://www.wikidata.org/entity/Q44871418
470639,http://www.wikidata.org/entity/Q111412645
240805,http://www.wikidata.org/entity/Q96135869
184749,http://www.wikidata.org/entity/Q85881275
157041,http://www.wikidata.org/entity/Q53295017
497833,http://www.wikidata.org/entity/Q5505987
612270,http://www.wikidata.org/entity/Q17215482
762230,http://www.wikidata.org/entity/Q139740744
101815,http://www.wikidata.org/entity/Q132163884
263001,http://www.wikidata.org/entity/Q102287200
124746,http://www.wikidata.org/entity/Q111114251
48913,http://www.wikidata.org/entity/Q6421682
484757,http://www.wikidata.org/entity/Q111853228
537455,http://www.wikidata.org/entity/Q111998712
714068,http://www.wikidata.org/entity/Q108273307
547859,http://www.wikidata.org/entity/Q112005005
713601,http://www.wikidata.org/entity/Q108219813
471576,http://www.wikidata.org/entity/Q136679772
70039,http://www.wikidata.org/entity/Q5120637
258005,http://www.wikidata.org/entity/Q80855662
630809,http://www.wikidata.org/entity/Q25064231
315154,http://www.wikidata.org/entity/Q111053217
416120,http://www.wikidata.org/entity/Q834300
546168,http://www.wikidata.org/entity/Q112003889
108493,http://www.wikidata.org/entity/Q10859497
639405,http://www.wikidata.org/entity/Q55648690
50801,http://www.wikidata.org/entity/Q39272011
111156,http://www.wikidata.org/entity/Q42590011
367877,http://www.wikidata.org/entity/Q4854200
509315,http://www.wikidata.org/entity/Q111870908
115835,http://www.wikidata.org/entity/Q42656201
578217,http://www.wikidata.org/entity/Q112026259
25203,http://www.wikidata.org/entity/Q35151993
618970,http://www.wikidata.org/entity/Q19652887
727488,http://www.wikidata.org/entity/Q116891923
477363,http://www.wikidata.org/entity/Q2142718
390964,http://www.wikidata.org/entity/Q109715904
710678,http://www.wikidata.org/entity/Q107188165
759296,http://www.wikidata.org/entity/Q139267043
476526,http://www.wikidata.org/entity/Q1951157
349780,http://www.wikidata.org/entity/Q138315069
401352,http://www.wikidata.org/entity/Q189801
609903,http://www.wikidata.org/entity/Q1654143
283373,http://www.wikidata.org/entity/Q131921283
162727,http://www.wikidata.org/entity/Q43191023
536543,http://www.wikidata.org/entity/Q8067282
268112,http://www.wikidata.org/entity/Q26303774
140239,http://www.wikidata.org/entity/Q111120286
90722,http://www.wikidata.org/entity/Q42419688
46446,http://www.wikidata.org/entity/Q111288732
474301,http://www.wikidata.org/entity/Q111414679
257536,http://www.wikidata.org/entity/Q80855376
707845,http://www.wikidata.org/entity/Q106829967
730668,http://www.wikidata.org/entity/Q117287533
391940,http://www.wikidata.org/entity/Q110813859
727937,http://www.wikidata.org/entity/Q116892377
219200,http://www.wikidata.org/entity/Q4857064
586421,http://www.wikidata.org/entity/Q11614590
461122,http://www.wikidata.org/entity/Q3317718
259265,http://www.wikidata.org/entity/Q126089745
615607,http://www.wikidata.org/entity/Q18463219
348029,http://www.wikidata.org/entity/Q111061886
413299,http://www.wikidata.org/entity/Q41184337
691457,http://www.wikidata.org/entity/Q112998588
357180,http://www.wikidata.org/entity/Q126268383
751829,http://www.wikidata.org/entity/Q135466676
526257,http://www.wikidata.org/entity/Q111884789
137903,http://www.wikidata.org/entity/Q42893593
156541,http://www.wikidata.org/entity/Q19947380
481324,http://www.wikidata.org/entity/Q4811618
483064,http://www.wikidata.org/entity/Q139927397
742023,http://www.wikidata.org/entity/Q126974953
666162,http://www.wikidata.org/entity/Q30299107
320948,http://www.wikidata.org/entity/Q111054540
62249,http://www.wikidata.org/entity/Q691592
754822,http://www.wikidata.org/entity/Q137638468
669004,http://www.wikidata.org/entity/Q136696307
383323,http://www.wikidata.org/entity/Q111074188
244043,http://www.wikidata.org/entity/Q7580034
39494,http://www.wikidata.org/entity/Q12620452
17959,http://www.wikidata.org/entity/Q33299525
26849,http://www.wikidata.org/entity/Q2308032
62457,http://www.wikidata.org/entity/Q41749605
44342,http://www.wikidata.org/entity/Q4686495
479091,http://www.wikidata.org/entity/Q111650320
480670,http://www.wikidata.org/entity/Q111747098
751005,http://www.wikidata.org/entity/Q135085461
509297,http://www.wikidata.org/entity/Q111870888
521353,http://www.wikidata.org/entity/Q111878831
174968,http://www.wikidata.org/entity/Q121337525
99725,http://www.wikidata.org/entity/Q4512015
317885,http://www.wikidata.org/entity/Q130301831
150604,http://www.wikidata.org/entity/Q43064808
635383,http://www.wikidata.org/entity/Q28402095
417387,http://www.wikidata.org/entity/Q111231390
35117,http://www.wikidata.org/entity/Q134971321
706242,http://www.wikidata.org/entity/Q106527665
543653,http://www.wikidata.org/entity/Q10540186
438534,http://www.wikidata.org/entity/Q1726085
94323,http://www.wikidata.org/entity/Q130247694
191229,http://www.wikidata.org/entity/Q59115477
520110,http://www.wikidata.org/entity/Q7241761
406832,http://www.wikidata.org/entity/Q444971
80863,http://www.wikidata.org/entity/Q125779565
424850,http://www.wikidata.org/entity/Q1250216
87816,http://www.wikidata.org/entity/Q42386417
578485,http://www.wikidata.org/entity/Q11500968
311909,http://www.wikidata.org/entity/Q76545147
234479,http://www.wikidata.org/entity/Q85770352
383427,http://www.wikidata.org/entity/Q89689369
653790,http://www.wikidata.org/entity/Q115414995
111395,http://www.wikidata.org/entity/Q55888392
27627,http://www.wikidata.org/entity/Q298762
557424,http://www.wikidata.org/entity/Q11292243
622319,http://www.wikidata.org/entity/Q20055942
417249,http://www.wikidata.org/entity/Q111151610
513872,http://www.wikidata.org/entity/Q111873740
49912,http://www.wikidata.org/entity/Q39135276
577268,http://www.wikidata.org/entity/Q11471097
126260,http://www.wikidata.org/entity/Q18042442
267253,http://www.wikidata.org/entity/Q25112761
42705,http://www.wikidata.org/entity/Q28889002
596550,http://www.wikidata.org/entity/Q12720894
58158,http://www.wikidata.org/entity/Q7885403
485854,http://www.wikidata.org/entity/Q4992993
176032,http://www.wikidata.org/entity/Q54967823
367866,http://www.wikidata.org/entity/Q3928678
471020,http://www.wikidata.org/entity/Q4174665
605263,http://www.wikidata.org/entity/Q16638826
710396,http://www.wikidata.org/entity/Q107174012
445070,http://www.wikidata.org/entity/Q99896383
422337,http://www.wikidata.org/entity/Q111369125
730479,http://www.wikidata.org/entity/Q117187812
383300,http://www.wikidata.org/entity/Q111074162
610977,http://www.wikidata.org/entity/Q17107765
485572,http://www.wikidata.org/entity/Q111855053
653916,http://www.wikidata.org/entity/Q115584574
702272,http://www.wikidata.org/entity/Q98034466
76987,http://www.wikidata.org/entity/Q42304595
679455,http://www.wikidata.org/entity/Q112922208
286968,http://www.wikidata.org/entity/Q134297414
360257,http://www.wikidata.org/entity/Q97279862
94237,http://www.wikidata.org/entity/Q4128552
761424,http://www.wikidata.org/entity/Q139500618
180806,http://www.wikidata.org/entity/Q4827563
119664,http://www.wikidata.org/entity/Q42670230
459969,http://www.wikidata.org/entity/Q111405933
731292,http://www.wikidata.org/entity/Q118591444
88481,http://www.wikidata.org/entity/Q3633272
481229,http://www.wikidata.org/entity/Q3276383
